Date,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,52W H,52W L,VOLUME,VALUE,No of trades 
06-Nov-23,35,36,35,35,35,35,329,23,28421525,997886665,30250
03-Nov-23,34,35,34,34,35,35,329,23,29612654,1027146689,32023
02-Nov-23,34,34,34,34,34,34,329,23,13690934,463967697,14895
01-Nov-23,34,34,33,34,34,34,329,23,21018364,706992925,20721
31-Oct-23,34,35,33,34,34,34,329,23,20998509,710178612,21520
30-Oct-23,34,35,34,33,34,34,329,23,58815778,2027450058,56885
27-Oct-23,33,34,33,32,33,33,329,23,22358948,738576430,24191
26-Oct-23,32,33,31,33,32,32,329,23,47421840,1512251911,42367
25-Oct-23,33,34,32,32,33,33,329,23,50913489,1664591144,42510
23-Oct-23,36,36,32,35,32,32,329,23,79801414,2680098056,71422
20-Oct-23,36,37,35,35,35,35,329,23,128678046,4631193214,94928
19-Oct-23,35,36,34,35,35,35,329,23,88674830,3131380528,77803
18-Oct-23,33,37,33,33,35,35,329,23,205624652,7225846276,171526
17-Oct-23,32,33,32,32,33,33,329,23,26660304,875603509,25126
16-Oct-23,33,33,32,32,32,32,329,23,8441425,272420505,14016
13-Oct-23,32,33,32,32,33,32,329,23,17476042,568412631,17106
12-Oct-23,33,33,32,32,32,32,329,23,12910576,416842221,15993
11-Oct-23,33,34,32,33,32,32,329,23,32200046,1060462420,35574
10-Oct-23,32,33,32,31,33,33,329,23,37328446,1215068258,39288
09-Oct-23,32,33,31,33,31,31,329,23,29925369,953065988,36601
06-Oct-23,31,33,31,31,32,33,329,23,38361313,1227717519,36319
05-Oct-23,31,32,31,31,31,31,329,23,10553299,327637440,14589
04-Oct-23,31,31,30,31,31,31,329,23,15827986,490857108,22136
03-Oct-23,32,32,30,32,31,31,329,23,20496356,639815375,21056
29-Sep-23,32,32,32,32,32,32,329,23,10133352,321999022,17796
28-Sep-23,32,32,31,31,32,32,329,23,13597378,431836366,21083
27-Sep-23,32,32,31,32,32,31,329,23,12554444,397347594,18692
26-Sep-23,33,33,32,32,32,32,329,23,42189353,1364608831,48018
25-Sep-23,30,33,30,30,32,32,329,23,91082419,2898989975,75087
22-Sep-23,30,30,29,30,30,30,329,23,26746326,798529213,28491
21-Sep-23,30,31,29,30,30,30,329,23,28933728,862049388,35498
20-Sep-23,31,31,30,31,30,30,329,23,17177041,528321531,30619
18-Sep-23,31,33,31,31,32,31,329,23,24520908,778088377,30472
15-Sep-23,32,33,31,32,31,31,329,23,46746456,1459749160,42139
14-Sep-23,32,33,32,32,32,32,329,23,15777013,508192539,20518
13-Sep-23,33,33,31,32,32,32,329,23,46375706,1486754260,30830
12-Sep-23,34,34,31,34,32,32,329,23,65239070,2081845580,67622
11-Sep-23,35,35,34,33,34,34,329,23,42614572,1468624218,61559
08-Sep-23,34,35,33,33,34,33,329,23,63829997,2156160255,70472
07-Sep-23,31,33,30,31,33,33,329,23,84618310,2736878242,74681
06-Sep-23,31,31,30,31,30,31,329,23,12322700,375490936,15404
05-Sep-23,31,32,30,31,31,31,329,23,30146312,928782821,31258
04-Sep-23,31,32,31,30,31,31,329,23,37366357,1161492288,38517
01-Sep-23,28,31,28,28,30,30,329,23,53663698,1595297452,44484
